Iteracion,led_x,led_y,Diferencia,Data,Simuladas
70,3,5,1621372076.0153575,1622726195.523456,1356705.4
70,3,6,1640566152.6184669,1643310856.257977,2747820.0
70,3,7,1654652520.3146646,1656229425.7720997,1577374.4
70,3,8,1880785993.2025604,1882194247.3107564,1408255.1
70,3,9,2123429516.4863555,2125178767.7281563,1749251.5
70,3,10,2358270973.4926405,2360901699.3197794,2630727.0
70,3,11,2748031831.1510873,2752347281.5061994,4361100.5
70,3,12,2636497216.511831,2639878016.9118094,3382744.5
70,3,13,2350391009.9554634,2354985158.158999,4613020.0
70,3,14,1744090037.54523,1748200968.1788473,4255350.0
70,3,15,1553207129.8760705,1555070646.1163015,1866924.1
70,3,16,1634423864.595519,1638276406.3421552,3878748.5
70,3,17,1595301417.4438958,1596726434.1510956,1425016.4
70,3,18,1872590543.6576016,1874102176.821584,1511633.0
70,3,19,2087639940.3589172,2089468412.582207,1833711.0
70,3,20,2337827265.078724,2340574089.2498794,2747966.8
75,1,1,45838185990.85083,1451541848603.4019,1422435000000.0
75,2,1,8123988479.38384,10176026587.078632,3441968600.0
75,2,2,7403576393.848366,9547824793.353415,3723903200.0
75,2,3,7127485492.784826,8413401993.768299,1755717200.0
75,2,4,6778254097.548081,8372318909.940894,2472022300.0
